Timestamp,"The survey should take about 5 minutes to complete, and all responses are anonymous.

Participation is voluntary, and you may stop or exit the survey at any time without any consequences.

By selecting ""I agree"" below, you confirm that you have read the information above and wish to continue with the survey.",I ask my group members to explain concepts that confuse me.,"If I do not understand, I will be quieter in group project meetings.","If I am struggling with my project contributions, I seek support from my group members.","When I am unsure about my work, I am reluctant to seek feedback from my group.","If a project is too hard for me, I participate less rather than ask my group for help.",I avoid asking my group members for help even when I find my task difficult.,I pretend to understand group project discussions even when I feel confused.,I hesitate to ask my teammates for clarification during group projects.,I tend to keep working on my own even when collaborating with my group would make the task easier.,What is your current student status?,Which field best describes your area of study?,"Self rate your skills in the language typically used for your group projects (e.g., German or English):"
2025/11/20 2:08:31 PM GMT+1,I agree,5,4,5,1,2,1,4,6,2,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/11/20 2:52:42 PM GMT+1,I agree,5,2,5,1,5,3,3,3,1,Graduate Student (Master or equivalent),Science,Good
2025/11/20 3:04:47 PM GMT+1,I agree,5,5,3,3,1,4,1,4,4,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/11/20 3:08:12 PM GMT+1,I agree,3,5,4,1,2,3,4,3,2,Graduate Student (Master or equivalent),Science,Excellent
2025/11/20 7:19:16 PM GMT+1,I agree,4,6,2,4,3,4,4,5,3,Graduate Student (Master or equivalent),Economics and Social Sciences,Native Speaker
2025/11/22 8:56:23 PM GMT+1,I agree,2,6,4,3,2,4,4,5,5,Graduate Student (Master or equivalent),Economics and Social Sciences,Adequate
2025/11/22 9:48:54 PM GMT+1,I agree,1,4,2,4,2,6,1,3,5,Graduate Student (Master or equivalent),Science,Good
2025/11/22 11:05:34 PM GMT+1,I agree,5,3,4,2,2,4,6,3,5,Graduate Student (Master or equivalent),Science,Good
2025/11/24 9:48:33 AM GMT+1,I agree,4,5,5,3,3,2,2,3,2,Graduate Student (Master or equivalent),Economics and Social Sciences,Native Speaker
2025/11/24 11:47:56 AM GMT+1,I agree,6,3,6,1,1,1,2,2,1,Graduate Student (Master or equivalent),Humanities,Excellent
2025/11/24 11:56:45 AM GMT+1,I agree,4,5,3,4,5,4,4,3,5,Graduate Student (Master or equivalent),Science,Good
2025/11/25 5:24:00 PM GMT+1,I agree,4,5,4,5,5,3,3,5,2,Graduate Student (Master or equivalent),Science,Excellent
2025/11/25 6:19:34 PM GMT+1,I agree,3,5,4,3,3,3,4,4,4,Graduate Student (Master or equivalent),Science,Less than adequate
2025/11/25 8:04:51 PM GMT+1,I agree,6,1,5,1,1,2,1,2,3,Graduate Student (Master or equivalent),Science,Native Speaker
2025/11/28 3:29:34 PM GMT+1,I agree,1,3,4,1,1,1,6,1,5,MD,Medicine,Excellent
2025/11/28 3:30:13 PM GMT+1,I agree,3,5,5,2,2,3,3,1,1,Undergraduate Student (Bachelor or equivalent),Humanities,Good
2025/11/28 3:31:49 PM GMT+1,I agree,5,3,3,2,2,2,2,1,2,Medical Student,Medicine,Excellent
2025/11/29 6:02:34 AM GMT+1,I agree,4,4,4,2,2,4,3,2,1,Graduate Student (Master or equivalent),Science,Excellent
2025/12/02 12:56:30 PM GMT+1,I agree,6,2,1,1,3,1,1,1,2,Graduate Student (Master or equivalent),Economics and Social Sciences,Excellent
2025/12/02 12:58:27 PM GMT+1,I agree,5,5,5,4,2,2,4,2,2,Graduate Student (Master or equivalent),Economics and Social Sciences,Adequate
2025/12/02 1:02:00 PM GMT+1,I agree,6,1,6,1,1,1,1,1,1,Graduate Student (Master or equivalent),Science,Adequate
2025/12/02 1:34:09 PM GMT+1,I agree,5,4,4,3,2,2,3,1,4,Undergraduate Student (Bachelor or equivalent),"Rhetorics, philosophy ",Native Speaker
2025/12/02 2:04:29 PM GMT+1,I agree,5,2,6,2,2,2,2,1,3,Graduate Student (Master or equivalent),Science,Native Speaker
2025/12/03 11:45:13 PM GMT+1,I agree,5,3,5,4,1,2,2,3,4,Undergraduate Student (Bachelor or equivalent),Economics and Social Sciences,Excellent
